Model_Name,Brand,weight(ounces),Ratings,Price($),Color
H95,Bang & Olufsen, 11.4 ounces ,317,892.39,Grey Mist
778,Gorsun, 7.8 ounces ,5640,12.29,Black
Beats Flex,Beats,,45913,44.40,Beats Black
Set,Skullcandy, 0.704 ounces ,604,11.54,True Black
Has180b,JVC, B00O3V4OK4 ,2134,27.95,Black
,YMJ, 12 ounces ,153,13.01,
Language _ tag,Edifier, 4.2 ounces ,2065,age 1 of 1,White
H180,Edifier, 0.494 ounces ,8576,age 1 of 1,Black
HAKD7Y,JVC, 7.1 ounces ,1560,19.95,Yellow
HP-200,Maxell, 2.4 ounces ,679,9.99,White
MDR-V150,Sony, 7.2 ounces ,3585,27.02,Black
JBL Vibe 100 TWS Black,JBL, 1.62 ounces ,11764,"BL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",Black
WHCH710N,Sony, 7.8 ounces ,21662,"ony SRS-XG300 X-Series Wireless Portable-Bluetooth Party-Speaker IP67 Waterproof and Dustproof with 25 Hour-Battery and Retractable Handle, Black- New",Black
,Plantronics, 0.64 ounces ,1527,age 1 of 1,Black
T22,Philips Audio, 6.9 ounces ,5836,39.99,Midnight Black
Sesh Evo,Skullcandy, 0.005 ounces ,54173,age 1 of 1,True Black
Jib w/ Mic,Skullcandy, 1.4 ounces ,11280,7.99,White
Go Air Pop,JLab, 2.82 ounces ,19445,,Black
Jib True,Skullcandy, 1.72 ounces ,18761,15.82,Chill Grey
,, 5.3 ounces ,991,age 1 of 1,BLACK
ATHM20xBT,Audio-Technica, 1.42 pounds ,233,79.00,Black
HPX2000,Behringer, 7.95 x 6.77 x 3.82 inches ,10294,age 1 of 1,Black
Ludos Clamor,LUDOS, 0.6 ounces ,36467,"UDOS Clamor Wired Earbuds in Ear, Noise Isolating Headphones with Microphone, Earphones with Mic and Volume Control, Memory Foam, Bass Ear Buds Compatible with iPhone, Apple, iPad, Computer - Black",Black
ATH-ANC7B SVIS,Audio-Technica, 7 ounces ,2749,99.00,Silver
KPH7,Koss, 2.88 ounces ,7719,,Black
BE1032,APEKX, 2.72 ounces ,25627,31.99,Black
I20,Rockpapa, 7 ounces ,4551,age 1 of 1  ,Purple
ErgoFit,Panasonic, 1.6 ounces ,134851,escue Monthly Whole Home Data and Image Recovery [Subscription],Black
Language _ tag,Sony, 4.5 ounces ,8666,age 1 of 1,Red
LGCP-03,LilGadgets, 4.8 ounces ,11222,,Blue
Language _ tag,Sony, 0.422 ounces ,3765,age 1 of 1,Pink
Kids Air Jammers,Helix, 3.2 ounces ,3,17.67,Red/Blue
Major IV,Marshall, 6.3 ounces ,5150,102.77,Black
Flats Wireless,JVC, 7.7 ounces ,228,age 1 of 1,Black
MOMENTUM 4 Black,Sennheiser Consumer Audio, 10.3 ounces ,1053,399.00,Black
CT-7,Riwbox, 12.3 ounces ,6243,"iwbox CT-7 Cat Ear Bluetooth Headphones, LED Light Up Bluetooth Wireless Over Ear Headphones with Microphone and Volume Control for iPhone/iPad/Smartphones/Laptop/PC/TV (Pink&Green)",Pink&Green
K72,AKG, 8.66 x 4.33 x 9.25 inches ,5195,age 1 of 1,Black
Language _ tag,CozyPhones, 3.98 ounces ,922,,Panda BT
ATH-M50XBT2,Audio-Technica, B09BYFHL25 ,1004,age 1 of 1,Black
JBL Quantum 100 - Black,JBL, 7.8 ounces ,12478,39.95,Black
W7,WINCASE, 0.77 ounces ,7767,age 1 of 1,Black
741776,Bose, 0.64 ounces ,13974,age 1 of 1  ,Charcoal
Comfort,Rockpapa, 6.7 ounces ,12672,age 1 of 1  ,Pink
HD 350BT,Sennheiser Consumer Audio, 8.4 ounces ,2317,age 1 of 1,Black
Headphones 700,Bose, 8.8 ounces ,30874,283.99,Black
A3412011,Anker, 0.48 ounces ,7161,34.99,Black
741776,Bose, 0.64 ounces ,13974,age 1 of 1  ,Charcoal
Comfort,Rockpapa, 6.7 ounces ,12672,age 1 of 1  ,Pink
HD 350BT,Sennheiser Consumer Audio, 8.4 ounces ,2317,age 1 of 1,Black
Headphones 700,Bose, 8.8 ounces ,30874,283.99,Black
A3412011,Anker, 0.48 ounces ,7161,34.99,Black
,EKids, 10.4 ounces ,11,,
YUSONIC KIDS BLUETOOTH HEADPHONES Blue,YUSONIC, 5.2 ounces ,626,18.00,Dark blue
NEARPHONES,JVC, 5.9 ounces ,220,48.04,Black
ATH-EQ300M,Audio-Technica, 0.705 ounces ,3114,22.87,Black
OnePlus Nord Buds,OnePlus, 6.1 ounces ,653,age 1 of 1,Black Slate
Hesh Evo,Skullcandy, 7.1 ounces ,3793,64.06,Clear Color
,JVC, ,8416,age 1 of 1,Black
Beats EP,Beats,,9878,129.95,Red
Move Wireless,Jabra, 1.03 pounds ,3410,25.99,Black
HZA101,Hongzan, 3.08 pounds ,142,age 1 of 1  ,Black
,SAMSUNG, 1.13 ounces ,10999,age 1 of 1,Black
HD 280 Pro,Sennheiser Pro Audio, 9.64 x 7.36 x 3.3 inches ,10931,ennheiser,Black
MDR7506,Sony, 1.35 pounds ,496,94.99,Black
190316,Maxell, 2.39 ounces ,1005,8.29,White
M6,MEE audio, 3.2 ounces ,8100,23.99,Black
Bluetooth Headphones,TUINYO, 11.8 ounces ,16643,"UINYO Bluetooth Headphones Wireless, Over Ear Stereo Wireless Headset 40H Playtime with deep bass, Soft Memory-Protein Earmuffs, Built-in Mic Wired Mode PC/Cell Phones/TV- Rose Gold",Rose Gold Upgrade
WIXB400/B,Sony, 0.74 ounces ,46772,"ony SRS-XG300 X-Series Wireless Portable-Bluetooth Party-Speaker IP67 Waterproof and Dustproof with 25 Hour-Battery and Retractable Handle, Black- New",Black
,ElloGear, 0.634 ounces ,6089,18.95,Black
,JVC,   ,3199,9.99,Black
Language _ tag,Woice, 4.2 ounces ,11496,19.99,Purple
,Rockpapa, 8.8 ounces ,412,age 1 of 1,Black
HBS-XL7,LG, 1.55 ounces ,4035,"G XBOOM Go Portable Bluetooth Speaker XG5QBK - LED Lighting and up to 18-Hour Battery, Black",Black
Deep Bass Wireless Bluetooth Immersive Headphones with XBS DEEP and Bass Reactor,Panasonic, 1 pounds ,177,age 1 of 1,Black
ZX110,Sony, 4.2 ounces ,4123,age 1 of 1,Black
M3,POWMEE, 8.8 ounces ,6518,age 1 of 1  ,Black
OEM,SAMSUNG, 0.01 ounces ,6233,9.95,Black
HAEC25T,JVC, 5.1 ounces ,49,27.59,Black
,Koss, 4.5 ounces ,308,,Black
SOUNDFORM Mini,Belkin, 14.4 ounces ,2906,26.83,Blue
,," March 1, 2019 ",13810,age 1 of 1,
,Koss,   ,2219,,Black
Language _ tag,CozyPhones, 1.44 ounces ,2878,,Black
Sports Over Head,Philips Audio, 13.1 ounces ,257,41.85,Black
Language _ tag,SAMSUNG, 1.13 ounces ,2345,9.95,White
FBA_AS600MINI-SG,Aftershokz, 1.41 ounces ,2948,129.00,Slate Grey
UR-10,Koss, 4.3 ounces ,548,,Black
Elite 3,Jabra, 4.6 ounces ,5877,49.99,Light Beige
MDR-ZX310AP,Sony, 6.4 ounces ,8087,"ony SRS-XG300 X-Series Wireless Portable-Bluetooth Party-Speaker IP67 Waterproof and Dustproof with 25 Hour-Battery and Retractable Handle, Black- New",Black
,CozyPhones, 0.8 ounces ,7128,14.87,Blue
143550,Monoprice, 12 ounces ,5,39.98,Black
Hyeing Active Noise Cancelling True Wireless Earbuds,Hyeing, 3.84 ounces ,2450,13.25,White
