Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Massdrop x Koss Porta Pro X,DROP,0.125,0.005137651466736839,38,MidBlue
EarPods with Lightning Connector,Apple,unknown,3.4052425526430263,16,White
T6,TOZO,0.01,4.2761371305411,18,Black
Beats Solo3,Beats,unknown,1.083095694576466,120,Black
Beats Studio3,Beats,unknown,0.5388984660440621,175,Matte Black
EarPods with 3.5mm Headphones Plug,Apple,unknown,1.0958771689571283,16,White
TUNE 660NC,JBL,0.36875,0.04196047051578799,99,Black
T10,TOZO,0.0044375,6.05900959684652,16,Black
Pro-10,OneOdio,0.6625,0.7102668893579009,30,Black
H4205,Philips Audio,0.33125,0.006677156784295614,31,Blue
NC25,Srhythm,0.39375,0.23260851274835712,56,Matte Black
QuietComfort 45-Headphones,Bose,0.96875,0.21903938448429258,279,Black
190319 - HP100,Maxell,0.15,0.045200592172510524,7,Black
WHCH710N,Sony,0.49375,0.10192957300208907,139,Black
JZ02,HROEENOI,0.6,0.06806045601579604,33,Black
WH1000XM5/B,Sony,0.55,0.08422526185016317,348,Black
AmazonBasics In-ear Headphones with Mic,Amazon Basics,0.0265,0.24123690301653536,8,Black
WH-816,TUINYO,0.7375,0.29891464875112106,25,Rose Gold
B01,MIDOLA,0.5625,0.1790301474523872,14,Rose Pink
Headphones 700,Bose,0.55,0.5531299396191693,329,Black
Dime,Skullcandy,0.070625,0.7826952441816545,21,Light Grey/Blue
G9000,BENGOO,unknown,1.733465086346557,21,Blue
Wired Headphones,WEIZY,0.0220625,0.10264562198700013,10,White
Beats Flex,Beats,unknown,0.8221137408010082,46,Beats Black
HD 650,Sennheiser,0.56875,0.04591664115742158,365,Titan
earbuds,Jogteg,0.180625,0.08802032147019177,16,Green
Wireless Noise Cancelling Over-the-Ear,Sony,0.08125,1.7901224622776444e-05,139,Black
BE1032,APEKX,0.17,0.4588441895310058,31,Black
MDR-RF985RK,Sony,0.6625,0.09215550435805313,169,Black
HX,Bang & Olufsen,0.63125,0.01047221640432422,298,Gold Tone
Beats Solo3,Beats,unknown,1.0830419909025977,120,Black
Crusher Evo,Skullcandy,0.000625,0.1560807774859878,199,True Black
JBL Quantum 100 - Black,JBL,0.4875,0.22344308574149557,39,Black
JBL LIVE 660NC - White,JBL,0.58125,0.022322827104602226,169,White
JBL E55BT,JBL,0.5125,0.020801223011666228,89,Black
JBL Quantum 400 - Black,JBL,0.60625,0.036070967614894534,77,Black
JBL Quantum 200 - Black,JBL,0.5375,0.029143193685880052,59,Black
JBL TUNE 205BT - Black,JBL,0.036375,0.02778270061454904,19,Black
JBL Reflect Aero TWS,JBL,0.73125,0.002094443280864844,99,Black
JBL LIVE 300 - Black,JBL,0.145,0.2066338358207085,79,Black
Quantum ONE,JBL,0.8125,0.021123445054876205,299,Black
JBL Clip 4,JBL,unknown,0.3637886867840629,129,Blue and Red
Reflect Contour 2.0,JBL,0.0375,0.0017185175637865386,29,Black
Flip 5,JBL,unknown,1.1664258951954902,229,Green and Blue
JBL TUNE 750BTNC - Blue,JBL,0.4875,0.03216850064712927,79,Blue
205BT,JBL,0.036375,0.022125913633751684,24,Black
Live Pro 2,JBL,0.6,0.015520361747947176,149,Pink
JBL TUNE 220TWS - Green,JBL,0.125625,0.03311726555213642,74,Green
Tune 510BT,JBL,unknown,0.8432908895297527,164,Blue/Squad Camo
JBL TUNE 120TWS - Yellow,JBL,0.160625,0.00972036497016761,49,Yellow
