Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Bluetooth Headphones,TUINYO,0.7375,0.2979121801722456,unknown,Gold
WIXB400/B,Sony,0.04625,0.8372581768318771,unknown,Black
HBS-XL7,LG,0.096875,0.0722135401282801,unknown,Black
Deep Bass Wireless Bluetooth Immersive Headphones ,Panasonic,0.0625,0.0031506155336086,unknown,Black
ZX110,Sony,0.2625,0.0737888478950845,unknown,Black
M3,POWMEE,0.55,0.116662280866634,unknown,Black
OEM,SAMSUNG,0.000625,0.1115604318491428,9,Black
HAEC25T,JVC,0.31875,0.0008592587818932,27,Black
SOUNDFORM Mini,Belkin,0.9,0.0520030575291655,26,Blue
FBA_AS600MINI-SG,Aftershokz,0.088125,0.0527549089633221,129,Grey
UR-10,Koss,0.26875,0.0097919698686587,unknown,Black
Elite 3,Jabra,0.2875,0.1051875958834343,49,Light Beige
MDR-ZX310AP,Sony,0.4,0.1447493022997703,unknown,Black
143550,Monoprice,0.75,7.160489849110578e-05,39,Black
Hyeing Active Noise Cancelling True Wireless Earbuds,Hyeing,0.24,0.0438400991011795,13,White
AfterShokz Open-Ear,Aftershokz,0.079375,0.071980824208184,129,Ocean Blue
Tiger-Ear,Kidrox,0.4,0.04371479052882,unknown,Orange
JBL Endurance Peak II,JBL,0.226875,0.1020011779005801,unknown,Black
Connect+ PRO,LilGadgets,0.6625,0.1427980688158877,unknown,Black
Jib w/ Mic,Skullcandy,0.0088125,0.0046006147280535,unknown,Blue
HX,Bang & Olufsen,0.63125,0.0104722164043242,499,Black 
93969,Sakar,0.25,0.0250259120226414,14,Blue
Voyager 4320,Plantronics,0.09375,0.005441972285324,unknown,Black
BTH02,IClever,0.50625,0.1688622518666502,21,Purple
JBL T450BT,JBL,0.3125,0.0272277626512429,29,Black
SHK2000PK/27,Philips,0.11875,0.0077333290370394,15,Pink
HAENR15P,JVC,0.02,0.013766041734915,19,Pink
HASR185A,JVC,0.24,0.0089864147606337,unknown,Blue
AfterShokz Open Ear,Aftershokz,0.088125,0.1834159474849674,129,Black
Wired sports headphones,Philips Audio,0.04375,0.0038845657431424,24,Black
BuddyPhones Discover,ONANOFF,0.039375,0.0070709837259966,13,Pink
ATH-AD700X,Audio-Technica,0.078125,0.0692061343916537,159,Black
Kraken,Razer,0.08125,0.0088253037390287,unknown,Black
K702,AKG,0.5125,0.0681320609142871,245,Black
