Model_Name,Brand,weight(pounds),Ratings,Price($),Color
JBL E55BT,JBL,0.5125,0.0208,89,Black
JBL Quantum 400 - Black,JBL,0.60625,0.03607,77,Black
JBL Quantum 200 - Black,JBL,0.5375,0.02914,59,Black
JBL TUNE 205BT - Black,JBL,0.03637,0.02778,19,Black
JBL Reflect Aero TWS,JBL,0.73125,0.00209,99,Black
JBL LIVE 300 - Black,JBL,0.145,0.20663,79,Black
Quantum ONE,JBL,0.8125,0.02112,299,Black
Reflect Contour 2.0,JBL,0.0375,0.00172,29,Black
JBL TUNE 750BTNC - Blue,JBL,0.4875,0.03217,79,Blue
205BT,JBL,0.03637,0.02213,24,Black
Live Pro 2,JBL,0.6,0.01552,149,Pink
JBL TUNE 220TWS - Green,JBL,0.12562,0.03312,74,Green
JBL TUNE 120TWS - Yellow,JBL,0.16062,0.00972,49,Yellow
Reflect Contour,JBL,0.03969,0.00231,34,White
JBL Endurance Peak - Black,JBL,0.21875,0.03331,49,Black
JBL Live Free NC Black,JBL,0.11875,0.01353,72,Black
JBLFREEWFHWLKBLKAM,JBL,0.4875,0.00021,99,Black
JBL T210,JBL,0.0375,0.00231,24,Gold
JBL UA Streak - Black,JBL,0.17,0.00072,139,Black
T10,TOZO,0.00444,6.05903,16,Black
Earbuds,Jogteg,0.18062,0.08802,16,Green
778,Gorsun,0.4875,0.10096,12,Black
True Wireless,JVC,0.2,0.00922,15,Black
Momentum 3 Wireless,Sennheiser,0.675,0.04015,499,White
JBuddies Pro,JLab,0.425,0.00362,35,Blue
IE 300,Sennheiser,0.00881,0.00641,199,Black
5200-UC-B,Global Teck Worldwide,0.22,0.00435,242,Black
Cystereo Fusion,Cystereo,0.01,0.00306,39,Black
ESS6001T-Gold,1MORE,0.0875,0.03262,139,Gold
Beoplay H4,Bang & Olufsen,0.5375,0.01772,199,Black
Sport2 Wireless,66 Audio,0.61875,0.00152,64,Red
Active Sport,Pyle,0.2,0.00297,37,Pink
SE-MS7BT-S,PIONEER,0.06875,0.01255,169,Silver
Air Cushion Wireless,JVC,0.2625,0.00107,21,Black
11641,TV Ears Inc,0.09875,0.05059,79,Black
Overhead,Philips Audio,0.8375,0.00856,99,Black
Focal Bathys Noise cancelling,Focal,0.1625,0.00073,799,Black
B01M19CBG9,Sony,0.04375,0.00605,24,Grey
ATH-SPORT50BTYL,Audio-Technica,0.3,0.00329,18,Yellow
AMPS AIR 2.0,SOL REPUBLIC,0.26875,0.01208,28,Gold
H2O TRI Multi-Sport,H2O Audio,0.07062,0.00045,58,Black
190338,Maxell,0.2,0.00456,12,Black
G951S Purple,SOMIC,0.06875,0.1351,39,Purple
LIVE FAST - BLACK,Jam,0.04188,0.00627,25,Black
GUMY Mini,JVC,0.2,0.00161,18,Black
Philips Sport Bone Conduction ,Philips Audio,0.61875,0.00168,77,Black
Smile Jamaica,House of Marley,0.31875,0.00729,59,Brass
HAECX20W,JVC,0.1875,0.00127,9,White
T2205,Philips Audio,0.07062,0.00589,17,Red
T22x6,Philips Audio,0.03081,0.01862,14,Black
Sesh,Skullcandy,0.3125,0.72819,39,Black
WH-1000XM3,Sony,0.5625,0.38643,499,Silver
ELIT 100,TCL,0.1,0.00469,9,Blue
NS-HAWHP2,INSIGNIA,0.11,0.00657,95,Black
SC 75 USB MS,Sennheiser,0.1875,0.00129,95,Black
BP-Tonies-Red,Tonies,0.2625,0.00693,22,Red
HAS35BTB,JVC,0.35,0.00283,34,Black
HD1,Sennheiser,0.575,0.00605,236,Black
Life Dot 2,Soundcore,0.22,0.21252,59,Black
HD 559,Sennheiser,0.09375,0.04053,79,Black
Porta Pro,Koss,0.03981,0.00349,51,Black
HAECX20B,JVC,0.044,0.006,33,Black
Indy XT,Skullcandy,0.02312,0.02091,54,Black
Shadow,SOL REPUBLIC,0.07062,0.00541,99,Gold
kendir-k1,Kendir,0.01762,0.25071,17,Black
V2 Pro,Razer,0.575,0.22178,248,Black
SCS2DUW-K012,Skullcandy,0.02075,0.02254,8,Blue
ATH-CKS5TWBK,Audio-Technica,0.16625,0.00372,59,Black
COMPACT True Wireless,JVC,0.2,0.00045,32,Black
Earbud Style,JVC,0.06625,0.00063,9,Blue
WHCH700N/L,Sony,0.53125,0.02923,169,Blue
Kraken V3,Razer,0.09625,0.04053,99,Black
Icon Wireless,Skullcandy,0.23375,0.00841,50,Black
HD 559,Sennheiser,0.09375,0.04053,79,Black
SteelSeries Arctis 3 Console,SteelSeries,0.07562,0.12049,69,White
310l,Sony,0.28125,0.06577,24,Blue
RP-HJE125E-W,Panasonic,0.04,0.03362,9,Orange
Nutek,Nutek,0.5,2e-05,27,White
Xelento Remote,Beyerdynamic,0.0625,0.00163,999,Silver
WHCH710N,Sony,0.49375,0.10193,139,Black
ZX110NC Noise Cancelling ,Sony,0.33125,0.18956,34,Black
MDR-V150,Sony,0.45,0.06416,28,Black
WHCH710N,Sony,0.4875,0.38799,148,Black
WIXB400/B,Sony,0.04625,0.83742,28,Black
MDR7506,Sony,0.08438,0.00886,94,Black
WI-C310/B,Sony,0.0425,0.12692,19,Black
WH1000XM4/B,Sony,0.5625,0.83423,348,Black
MDR-RF985RK,Sony,0.6625,0.09216,169,Black
Wireless Noise Cancelling,Sony,0.08125,2e-05,139,Black
WH-1000XM3,Sony,0.5625,0.1474,294,Silver
MDRV55,Sony,0.46875,0.06727,89,Black
Pro-10,OneOdio,0.6625,0.71028,30,Black
Pro-30,OneOdio,0.55,0.16428,33,Silver
A10-BK,OneOdio,0.99375,0.00274,119,Black
A11,OneOdio,0.4875,0.0225,37,Black
OneOdio A100,OneOdio,0.12375,0.00018,69,White
JBL Quantum 100 - Black,JBL,0.4875,0.22344,39,Black
WhiteSPEED ,Logitech G,0.3625,0.09088,37,White
Arctis Nova 7X ,SteelSeries,0.1,0.20558,148,Black
H3,Sony,0.65625,0.01241,78,White
JBL Quantum 400 - Black,JBL,0.60625,0.03607,77,Black
G733 WhiteSPEED,Logitech G,0.6125,0.19473,173,White
NEARPHONES,JVC,0.36875,0.00396,48,Black
Life Q20,Soundcore,0.58125,0.84345,64,Black
Life Q30,Soundcore,0.58125,0.38688,79,Black
S5URW-K609,Skullcandy,0.61875,0.0503,50,Grey
WHCH710N,Sony,0.49375,0.10197,139,Black
Push Active,Skullcandy,0.20938,0.0694,45,Orange
MDRV6,Sony,0.6625,0.0669,494,Black
11621,TV Ears Inc,0.22,0.03374,33,Black
Z.N.E 01,Adidas,0.3375,0.00365,119,Grey
JBL E55BT,JBL,0.5125,0.0208,89,Black
Rapture Series,Ghostek,0.6875,0.00489,59,Black
Sports Over Head,Philips Audio,0.81875,0.0046,41,Black
MDR-XB450,Sony,0.3625,0.00431,109,Blue
Language _ tag ',Bose,0.31875,0.00603,97,Black
Performance ANC ,Philips Audio,0.675,0.01538,20,Black
T22,Philips Audio,0.43125,0.10453,39,Black
Hesh 3,Skullcandy,0.4375,0.01275,99,Grey
Noise Reduction Headset,Sony,0.6,0.00857,34,Black
WhiteSPEED Wireless Gaming Headset,Logitech G,0.3625,0.09096,37,White
TRIPLE DRIVER,1MORE,0.03969,0.20925,61,Gold
True Wireless Bluetooth Earphones Panasonic,0.3875,0.00601,119.0,Green,
HBS-770.ACUSGDI,LG,0.00625,0.00564,59,Gold
AMPS AIR 2.0,SOL REPUBLIC,0.26875,0.01208,28,Gold
508678 - RS135-9,Sennheiser,0.1675,0.00208,99,Black
GSP 600,EPOS,0.07187,0.00593,69,Blue
TWS,Philips Audio,0.5,0.0007,19,Black
CORSAIR HS70 BlueTOOTH,Corsair,0.00075,0.02177,26,Black
Anker Liberty 3 Pro,Soundcore,0.13,0.08748,124,Black
FBA_OCX 686i,Sennheiser,0.044,0.0036,169,Grey
RPHC200K,Panasonic,0.02,0.01332,30,Black
ATH-CM707,Audio Technica,0.01,0.00433,66,Black
MZX1003-BLK,Altec Lansing,0.9,0.00496,28,Black
Sport2 Wireless,66 Audio,0.61875,0.00152,64,Black
T5 II True Wireless Silver,Klipsch,0.75,0.03133,83,Silver
Reflect Contour,JBL,0.03969,0.00231,32,White
Hesh 3,Skullcandy,0.6,0.00968,49,Red
BlackShark V2 X,Razer,0.53125,0.22169,54,Pink
ATH-SQ1TWWH,Audio-Technica,0.2625,0.0003,79,White
S2WUW-K605,Skullcandy,0.3125,0.01858,44,Grey
