Model_Name,Brand,weight(pounds),Ratings,Price($),Color
Headphones 700,Bose,0.55,0.5526645077789771,283,Black
A3412011,Anker,0.03,0.12817276829907934,34,Black
YUSONIC KIDS BLUETOOTH HEADPHONES Blue,YUSONIC,0.325,0.011188265389235277,18,blue
NEARPHONES,JVC,0.36875,0.003920368192388041,48,Black
ATH-EQ300M,Audio-Technica,0.0440625,0.05572651225070307,22,Black
OnePlus Nord Buds,OnePlus,0.38125,0.011671598454050242,unknown,Black Slate
Hesh Evo,Skullcandy,0.44375,0.06788144376956827,64,Clear Color
Beats EP,Beats,unknown,0.17681039559916295,129,Red
Move Wireless,Jabra,0.064375,0.0610252747390449,25,Black
HZA101,Hongzan,0.1925,0.0025240726718114784,unknown,Black
HD 280 Pro,Sennheiser Pro Audio,unknown,0.19566038512694653,unknown,Black
MDR7506,Sony,0.084375,0.00886110618827434,94,Black
190316,Maxell,0.149375,0.01797282952126755,8,White
M6,MEE audio,0.2,0.14498201821986642,23,Black
Bluetooth Headphones,TUINYO,0.7375,0.2979121801722456,unknown,Gold
WIXB400/B,Sony,0.04625,0.8372581768318771,unknown,Black
HBS-XL7,LG,0.096875,0.07221354012828017,unknown,Black
Deep Bass Wireless Bluetooth Immersive Headphones ,Panasonic,0.0625,0.003150615533608654,unknown,Black
ZX110,Sony,0.2625,0.0737888478950845,unknown,Black
M3,POWMEE,0.55,0.11666228086663409,unknown,Black
OEM,SAMSUNG,0.000625,0.1115604318491428,9,Black
HAEC25T,JVC,0.31875,0.0008592587818932693,27,Black
SOUNDFORM Mini,Belkin,0.9,0.05200305752916557,26,Blue
FBA_AS600MINI-SG,Aftershokz,0.088125,0.05275490896332218,129,Grey
UR-10,Koss,0.26875,0.009791969868658715,unknown,Black
Elite 3,Jabra,0.2875,0.10518759588343439,49,Light Beige
MDR-ZX310AP,Sony,0.4,0.14474930229977032,unknown,Black
143550,Monoprice,0.75,7.160489849110578e-05,39,Black
Hyeing Active Noise Cancelling Wireless Earbuds,Hyeing,0.24,0.04384009910117951,13,White
AfterShokz Open-Ear,Aftershokz,0.079375,0.07198082420818408,129,Ocean Blue
Tiger-Ear,Kidrox,0.4,0.043714790528820074,unknown,Orange
JBL Endurance Peak II,JBL,0.226875,0.10200117790058018,unknown,Black
Connect+ PRO,LilGadgets,0.6625,0.1427980688158877,unknown,Black
Jib w/ Mic,Skullcandy,0.0088125,0.0046006147280535465,unknown,Blue
HX,Bang & Olufsen,0.63125,0.01047221640432422,499,Black 
93969,Sakar,0.25,0.02502591202264147,14,Blue
Voyager 4320,Plantronics,0.09375,0.005441972285324039,unknown,Black
BTH02,IClever,0.50625,0.1688622518666502,21,Purple
JBL T450BT,JBL,0.3125,0.027227762651242972,29,Black
Pro Audio,AKG,unknown,0.18300421931864358,unknown,Gold
SHK2000PK/27,Philips,0.11875,0.007733329037039424,15,Pink
HAENR15P,JVC,0.02,0.013766041734915085,19,Pink
HASR185A,JVC,0.24,0.008986414760633775,unknown,Blue
AfterShokz Open Ear,Aftershokz,0.088125,0.18341594748496745,129,Black
Wired sports headphones,Philips Audio,0.04375,0.0038845657431424885,24,Black
BuddyPhones Discover,ONANOFF,0.039375,0.007070983725996695,13,Pink
ATH-AD700X,Audio-Technica,0.078125,0.06920613439165374,159,Black
Kraken,Razer,0.08125,0.008825303739028787,unknown,Black
K702,AKG,0.5125,0.06813206091428714,245,Black
Galaxy Buds Live,SAMSUNG,0.0014375,0.39008558575492147,unknown,Bronze
Elderly people,FSC,0.0529375,0.007053082501373919,42,Black
Mdr-222Kd/Pin,Sony,0.114375,0.015341349501719413,unknown,Pink
Go Work,JLab,0.6,0.10635117548391486,unknown,Black
Indy Evo,Skullcandy,0.125625,0.5126731719716946,20,pure mint
U8,Otium,0.24,0.549388583673009,18,White
Lenovo SE-631TWC,Lenovo,unknown,0.0319894884009015,49,Dark Black
IAHG19B,ILive,unknown,0.0002506171447188702,unknown,Black
Voyager Focus 2,Poly (Plantronics + Polycom),0.101875,0.0018617273607687502,unknown,Black
Method Active,Skullcandy,0.0375,0.019941964229772957,14,Black
AS600SG,Aftershokz,0.088125,0.11193635756622111,129,Gray
Rapture Series,Ghostek,0.6875,0.004887034322017969,59,Black
QuietComfort 25,Bose,0.43125,0.24458443202099456,239,Black
2019 TWS,Philips Audio,0.06375,0.08957772801237332,unknown,Black
SP1050,Sephia,0.03525,0.09851043909913877,14,Gold
Disney Princess Kid Friendly Headphones ,EKids,0.41875,0.03755676925858498,unknown,Pink
Hesh 3,Skullcandy,0.4375,0.012745671931416827,99,Gray
HD 400S,Sennheiser,0.48125,0.02481109732716815,74,Black
Kids,Philips Audio,0.00025,0.07998267161456515,unknown,Purple
NRG MFI,Symphonized,0.22,0.09398142926957632,unknown,Black
HAFX1X,JVC,0.011,0.21259494362009304,29,Black
Headphones,Altec Lansing,0.46875,0.0007518514341566106,unknown,Blue
MDRE9LP/BLK,Sony,0.01325,0.2417381373059731,7,Black
W2,HAPPYAUDIO,0.09,0.024488875283958177,unknown,W2
JBL Quantum 400 - Black,JBL,0.60625,0.03599936271640343,77,Black
Ink'd Plus Wireless,Skullcandy,0.16875,0.15611657993523337,unknown,Deep Red
Solo3,Beats,unknown,0.005603083306929027,228,Rose Gold
Galaxy Buds Live,SAMSUNG,0.3125,0.0721956389036574,unknown,Black
JBL LIVE 660NC - Blue,JBL,0.58125,0.022215419756865567,169,Blue
HAEN10P,JVC,0.0125,0.024972208348773138,14,Pink
Hearphone,Qisebin,0.1,0.00042962939094663466,unknown,Black
Uplift 2,House of Marley,0.0286875,0.003920368192388041,unknown, Black
JBL Quantum 200 - Black,JBL,0.5375,0.029125292461257276,59,Black
Sony WH-XB910N EXTRA BASS,Sony,0.0625,0.10651228650551985,unknown,Black
Kensington USB Hi-Fi Headphones,Kensington,0.3,0.011725302127918572,unknown,Black
MZX701- GRY,Altec Lansing,0.000375,0.003633948598423618,unknown,Grey
SM-140.EXV6,EKids,0.45,0.06422959394652188,unknown,Green
Panasonic Deep Bass Wireless Bluetooth Immersive Headphones,Panasonic,0.10625,0.0024703689979431493,71,Black
DT 177X GO,DROP,0.9125,0.002183949403978726,325,Black
PSWBT550.5,Pyle,0.09,0.004206787786352464,unknown,Black
Massdrop x Koss Porta Pro X,DROP,0.125,0.005137651466736839,38,Blue
Q35,Soundcore,0.6,0.13669375121952093,unknown,Black
EarPods with Lightning Connector,Apple,unknown,3.4052425526430263,16,White
MDRZX110/BLK ZX,Sony,0.3,1.7950452990489079,unknown,Black
T6,TOZO,0.01,4.2761371305411,18,Black
Beats Solo3,Beats,unknown,1.083095694576466,120,Black
Beats Studio3,Beats,unknown,0.5388984660440621,175,Matte Black
EarPods with 3.5mm Headphones Plug,Apple,unknown,1.0958771689571283,16,White
TUNE 660NC,JBL,0.36875,0.04196047051578799,99,Black
T10,TOZO,0.0044375,6.05900959684652,16,Black
Crusher Evo,Skullcandy,0.000625,0.1560807774859878,unknown,Black
Pro-10,OneOdio,0.6625,0.7102668893579009,30,Black
H4205,Philips Audio,0.33125,0.006677156784295614,31,Blue
NC25,Srhythm,0.39375,0.23260851274835712,56,Matte Black
QuietComfort 45-Headphones,Bose,0.96875,0.21903938448429258,279,Black
190319 - HP100,Maxell,0.15,0.045200592172510524,7,Black
WHCH710N,Sony,0.49375,0.10192957300208907,139,Black
JBL Tune 125TWS - Black,JBL,0.160625,0.5479027820293186,unknown,Black
Over Ear HT161K Headphones,Panasonic,0.6375,0.49514787306599645,unknown,Black
H390 USB COMPUTER HEADSET,Logitech,0.4375,0.8538884145064364,unknown,Black
JZ02,HROEENOI,0.6,0.06806045601579604,33,Black
WH1000XM5/B,Sony,0.55,0.08422526185016317,348,Black
LIVE 460NC,JBL,0.4625,0.06496354415605572,unknown,Black
Elite 45h,Jabra,0.35,0.023235789560363825,unknown,Black
AmazonBasics In-ear Headphones with Mic,Amazon Basics,0.0265,0.24123690301653536,8,Black
WH-816,TUINYO,0.7375,0.29891464875112106,25,Rose Gold
B01,OLA,0.5625,0.1790301474523872,14,Rose Pink
Headphones 700,Bose,0.55,0.5531299396191693,329,Black
Dime,Skullcandy,0.070625,0.7826952441816545,21,Light Grey/Blue
G9000,BENGOO,unknown,1.733465086346557,21,Blue
Wired Headphones,WEIZY,0.0220625,0.10264562198700013,10,White
